cat,subcat,y,y_fcst,MSE,MAPE
Office Supplies,Fasteners,"[597.8, 982.61, 1341.6299999999999, 929.25, 980.1600000000001, 1631.7300000000002, 1129.3400000000004, 1312.8200000000002, 1850.2999999999997, 1440.11, 1163.8100000000002, 1694.3300000000002, 904.9999999999999, 976.2199999999997, 1433.5600000000002, 1372.4299999999998, 1753.7900000000002, 2270.31, 1042.74, 2373.0800000000004, 1658.73, 2247.7400000000002, 2631.32, 2132.75, 791.2400000000001, 795.4, 926.8299999999999, 1235.4000000000005, 1960.9, 2073.55, 1161.67, 3299.35, 2488.8599999999997, 2059.2, 2890.24, 3207.7799999999997, 1355.9, 1284.9199999999998, 1702.5400000000002, 2196.54, 2057.9099999999994, 4374.280000000002, 1606.4199999999998, 2743.34, 2947.6000000000004, 3075.05, 4339.579999999999, 3069.129999999999, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2298.0, 1973.0, 1189.0, 1836.0, 4071.0, 2741.0, 2938.0, 3264.0, 1707.0, 2778.0, 3957.0, 4265.0, 2623.0, 2231.0, 1720.0, 1648.0, 2909.0, 2445.0, 3297.0, 3407.0, 2319.0, 3187.0, 4270.0, 5128.0, 2634.0, 2672.0, 1925.0, 1808.0, 3156.0, 2670.0, 3723.0, 3614.0, 2564.0, 3569.0, 4681.0, 5682.0]",0.437554986,42.18
Office Supplies,Labels,"[645.92, 393.5199999999999, 897.09, 704.29, 533.72, 1480.1399999999999, 924.71, 1141.02, 1660.7499999999998, 1370.2299999999998, 1870.7000000000003, 2047.9, 492.09, 645.73, 1204.8, 792.37, 1880.49, 1012.1299999999999, 779.5699999999999, 1618.0, 1509.16, 1983.1599999999996, 1868.84, 1689.43, 974.4100000000001, 668.1200000000001, 855.4300000000001, 609.73, 1249.7099999999998, 2784.56, 1154.39, 2210.7100000000005, 2114.4900000000002, 1500.73, 2603.6, 1590.2799999999997, 1442.74, 809.67, 1249.4599999999998, 1541.71, 1836.77, 3083.8900000000003, 2249.84, 3188.5199999999995, 2889.55, 2356.6000000000004, 2684.07, 2555.81, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1383.0, 2036.0, 213.0, 1055.0, -285.0, 2345.0, 2794.0, 2409.0, 3627.0, 1718.0, 3104.0, 1864.0, 2643.0, 2187.0, 433.0, 1283.0, 1017.0, 2750.0, 2456.0, 3299.0, 4547.0, 2863.0, 3577.0, 2496.0, 3216.0, 2553.0, 523.0, 1467.0, 1087.0, 3154.0, 2981.0, 3865.0, 5268.0, 3437.0, 4127.0, 2958.0]",0.327994447,46.13
Office Supplies,Paper,"[2138.64, 1523.88, 2173.5899999999997, 2369.5000000000005, 2538.2599999999998, 4107.3, 2133.53, 6200.34, 3305.33, 3817.8100000000004, 7279.509999999999, 4806.299999999999, 2594.7200000000003, 1518.4599999999998, 4284.919999999999, 1458.89, 5294.0, 3405.1400000000003, 3365.15, 5057.830000000001, 5545.9800000000005, 4681.510000000001, 6997.150000000001, 6643.75, 3903.6, 3350.4, 3541.73, 3615.62, 7482.37, 9087.22, 4995.490000000002, 6952.33, 6680.74, 5132.75, 7523.240000000001, 7705.94, 3507.97, 2149.75, 4873.789999999999, 4472.22, 6363.68, 7730.100000000001, 4305.740000000001, 8239.11, 8808.98, 8413.020000000002, 8827.59, 10882.800000000001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4808.0, 3486.0, 3483.0, 2412.0, 9517.0, 6500.0, 5647.0, 6958.0, 8027.0, 7653.0, 8085.0, 8911.0, 9130.0, 5506.0, 3920.0, 4792.0, 10811.0, 8265.0, 10166.0, 8038.0, 11925.0, 9888.0, 9686.0, 12221.0, 13160.0, 7614.0, 4705.0, 6794.0, 13946.0, 11382.0, 14380.0, 11089.0, 16103.0, 13901.0, 13807.0, 16317.0]",0.534258814,27.54
Office Supplies,Storage,"[13940.130000000001, 10532.11, 9539.23, 12057.689999999999, 16948.79, 13149.230000000001, 12051.089999999998, 16962.489999999998, 25643.64, 22043.52, 23307.78, 31111.16000000001, 16204.779999999999, 6532.65, 18034.800000000003, 15579.98, 13707.43, 22127.569999999996, 17647.36, 29502.760000000002, 22623.04, 15389.75, 26821.75, 23522.96, 20719.88, 16245.18, 15301.7, 16910.84, 21866.1, 25056.519999999993, 25490.129999999997, 25993.94, 34455.579999999994, 19810.89, 41464.74, 45118.37, 19786.670000000002, 17805.89, 24435.020000000004, 25931.72, 33242.19, 40535.240000000005, 21505.46, 38813.869999999995, 40284.219999999994, 31046.769999999997, 54997.34, 35013.829999999994, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 46409.0, 13107.0, 21804.0, 8729.0, 24620.0, 38952.0, 41704.0, 27219.0, 32239.0, 19525.0, 44894.0, 56217.0, 24137.0, 29869.0, 17662.0, 36593.0, 37991.0, 51285.0, 53595.0, 17768.0, 64502.0, 30647.0, 65478.0, 75842.0, 40429.0, 40727.0, 24958.0, 51670.0, 50033.0, 70178.0, 75241.0, 24910.0, 85888.0, 45057.0, 83609.0, 101248.0]",0.976832592,43.97
Office Supplies,Supplies,"[1536.4800000000002, 1654.13, 1303.7599999999998, 5706.879999999999, 2221.19, 4706.449999999999, 10276.630000000001, 2728.0699999999997, 4340.27, 4078.15, 4173.38, 4840.459999999998, 2424.47, 1511.9199999999998, 1517.63, 2247.86, 4002.9900000000007, 4599.55, 1961.54, 4725.0599999999995, 5762.290000000001, 3751.7499999999995, 5273.259999999998, 5580.549999999999, 2734.0800000000004, 2875.73, 12048.349999999999, 4221.389999999999, 3398.0600000000004, 5850.050000000001, 4833.03, 6552.4800000000005, 5442.09, 4910.379999999999, 6163.829999999999, 6679.65, 7074.780000000001, 3495.7999999999997, 6791.47, 4467.639999999999, 6330.1500000000015, 6346.23, 4755.05, 8411.1, 12486.880000000001, 6040.820000000001, 7381.170000000001, 12596.210000000001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8283.0, 7754.0, 2543.0, 8225.0, 4748.0, 7828.0, 5981.0, 5657.0, 7500.0, 10847.0, 6003.0, 12149.0, 5394.0, 11039.0, 7911.0, 10330.0, 6372.0, 12412.0, 8661.0, 7674.0, 9281.0, 16084.0, 10298.0, 14253.0, 9396.0, 16415.0, 9908.0, 14753.0, 11183.0, 18681.0, 11983.0, 11924.0, 15679.0, 23882.0, 15251.0, 18220.0]",0.403823259,44.51
Office Supplies,Art,"[4752.81, 3029.78, 2476.9900000000007, 5046.58, 5210.18, 6008.05, 3556.92, 6470.740000000001, 7743.49, 6280.349999999999, 4342.29, 9227.710000000001, 3988.3100000000004, 3126.4400000000005, 3953.46, 4603.66, 6378.840000000001, 7631.699999999999, 4622.75, 9583.99, 8436.04, 7306.370000000001, 11019.66, 11758.210000000001, 5565.130000000001, 4439.17, 4318.61, 4572.509999999999, 8579.19, 11681.939999999999, 6766.609999999999, 12818.230000000001, 13318.95, 5953.04, 9900.909999999998, 9882.5, 7827.709999999998, 5867.62, 8216.55, 7176.160000000001, 7611.19, 13646.069999999998, 8152.989999999999, 14016.019999999999, 15578.500000000002, 9014.56, 15856.500000000002, 14297.720000000003, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 3285.0, 7789.0, 5311.0, 7632.0, 12455.0, 10909.0, 9650.0, 14023.0, 15501.0, 8816.0, 12686.0, 15679.0, 10403.0, 11327.0, 6975.0, 10292.0, 13288.0, 12010.0, 13333.0, 15758.0, 18813.0, 10934.0, 15452.0, 18217.0, 11616.0, 12752.0, 7868.0, 12286.0, 15548.0, 13605.0, 16456.0, 17927.0, 21691.0, 14090.0, 17361.0, 21536.0]",0.199121898,22.25
Technology,Total Sales,"[30908.01, 42990.17999999999, 69710.42000000001, 33202.83, 60159.42999999999, 65859.59999999998, 44721.69000000001, 83358.51, 88816.2, 84760.01000000001, 107976.82999999999, 119038.88999999998, 50677.12, 31314.25999999999, 53205.73, 62450.16, 85374.48, 98019.61999999997, 60224.30999999998, 119353.77, 118449.45000000001, 106666.87999999998, 104960.46, 131388.26000000007, 50060.83000000001, 56412.68000000001, 71262.89, 67468.66000000002, 111371.73, 169780.51000000004, 87783.95, 121043.06999999999, 138156.97, 126695.27999999996, 140450.89000000004, 134325.08999999997, 94815.16999999998, 71950.51000000001, 95819.13999999998, 90849.2, 92114.07999999999, 145350.99, 99390.01000000001, 174905.39, 170994.13, 176294.55999999997, 222579.09, 181096.83999999997, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 42270.0, 132058.0, 87992.0, 99623.0, 114580.0, 131292.0, 101498.0, 123829.0, 192464.0, 144851.0, 180362.0, 218303.0, 121940.0, 134556.0, 114384.0, 142140.0, 133934.0, 160574.0, 132841.0, 179159.0, 239827.0, 182016.0, 238812.0, 269622.0, 146954.0, 170378.0, 145037.0, 173886.0, 171185.0, 198460.0, 173701.0, 217874.0, 293438.0, 232206.0, 297872.0, 336911.0]",0.239169811,24.34
Technology,Accessories,"[3284.48, 5466.700000000001, 4192.679999999999, 7597.71, 14343.359999999999, 10609.519999999999, 8057.4400000000005, 10742.92, 10238.51, 11043.53, 11869.189999999999, 16720.96, 7609.33, 7877.66, 8733.66, 7464.289999999999, 10796.369999999999, 18517.31, 12421.139999999998, 17054.949999999997, 17941.570000000003, 17967.94, 18448.200000000004, 27698.2, 6960.24, 8899.8, 12514.39, 9932.210000000001, 12693.890000000001, 21715.87, 12243.460000000001, 19605.429999999997, 30709.980000000003, 22636.04, 29434.650000000005, 21705.49, 10808.829999999998, 15828.949999999999, 9829.050000000001, 15480.520000000002, 16876.91, 23269.210000000003, 19207.94, 33420.35, 30546.31, 18121.93, 33387.57, 26710.640000000003, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2234.0, 11337.0, 20892.0, -196.0, 19147.0, 16485.0, 17950.0, 30150.0, 37672.0, 32830.0, 24438.0, 26322.0, 15360.0, 19263.0, 11551.0, 4219.0, 26821.0, 22088.0, 18584.0, 29059.0, 31041.0, 37370.0, 28099.0, 31537.0, 19267.0, 20896.0, 12356.0, 4993.0, 30190.0, 25267.0, 22512.0, 33273.0, 37313.0, 44949.0, 33216.0, 39152.0]",0.335155467,42.77
Technology,Machines,"[7102.68, 7702.419999999999, 31535.16, 3809.55, 6799.68, 8421.46, 7307.24, 9054.630000000001, 30031.749999999996, 9473.93, 17898.52, 23512.830000000005, 9814.95, 5245.18, 7728.19, 5820.259999999999, 13667.039999999999, 12484.000000000002, 10176.76, 17101.640000000003, 16141.430000000002, 12740.900000000001, 25473.15, 21361.36, 4509.400000000001, 13743.68, 15282.63, 17276.230000000003, 21039.61, 32300.97, 6931.3, 17620.94, 11799.880000000001, 19671.210000000003, 18516.6, 19683.829999999994, 21807.38, 8805.919999999998, 8846.059999999998, 19232.870000000003, 11199.740000000002, 24164.910000000003, 15718.09, 25975.47, 23306.9, 35159.990000000005, 41362.34, 24699.66, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -2780.0, 19740.0, 4562.0, 17601.0, 22779.0, 11676.0, 19261.0, 8846.0, 7944.0, 25581.0, 17404.0, 46639.0, 16360.0, 22773.0, 12551.0, 13868.0, 30200.0, 12857.0, 27148.0, 17343.0, 22132.0, 42599.0, 29024.0, 59779.0, 21546.0, 29958.0, 15809.0, 17613.0, 37465.0, 16639.0, 33370.0, 21745.0, 27581.0, 49056.0, 38777.0, 74810.0]",0.712512247,64.77
Technology,Phones,"[11555.210000000001, 18267.640000000003, 23636.97, 16027.380000000001, 24094.880000000005, 28510.880000000005, 15912.23, 39624.40000000001, 22871.07, 37930.37, 48836.51000000001, 50491.39, 18896.85, 11156.44, 16915.840000000004, 20707.689999999995, 28501.44, 36206.78, 22969.45, 45664.509999999995, 48660.81, 46429.33000000001, 27099.410000000007, 40331.47, 22833.81, 12681.169999999998, 25919.989999999994, 21216.47, 31438.119999999995, 68753.12, 36866.16, 45621.819999999985, 52443.57000000001, 35587.83999999999, 49258.159999999996, 50898.93000000001, 27646.780000000006, 23611.66, 24524.029999999995, 30427.469999999998, 31837.77, 53768.189999999995, 38651.200000000004, 73448.81999999999, 50022.65, 48198.369999999995, 77973.32, 71896.28, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 38962.0, 26912.0, 54914.0, 24890.0, 11909.0, 62165.0, 36806.0, 32129.0, 72327.0, 54512.0, 48506.0, 71636.0, 70128.0, 28106.0, 43260.0, 39843.0, 41486.0, 48996.0, 48881.0, 73734.0, 83470.0, 74098.0, 64198.0, 87780.0, 90541.0, 34885.0, 52929.0, 47419.0, 49870.0, 58541.0, 64358.0, 87379.0, 105470.0, 93543.0, 82566.0, 108940.0]",0.350855215,36.01
Technology,Copiers,"[8965.64, 11553.419999999998, 10345.61, 5768.1900000000005, 14921.51, 18317.739999999998, 13444.779999999999, 23936.56, 25674.870000000003, 26312.179999999997, 29372.609999999997, 28313.710000000003, 14355.990000000002, 7034.98, 19828.04, 28457.92, 32409.630000000005, 30811.529999999995, 14656.960000000001, 39532.670000000006, 35705.64000000001, 29528.710000000006, 33939.700000000004, 41997.229999999996, 15757.380000000001, 21088.03, 17545.879999999997, 19043.75, 46200.10999999999, 47010.55, 31743.030000000002, 38194.880000000005, 43203.53999999999, 48800.19, 43241.479999999996, 42036.84, 34552.18, 23703.98, 52620.0, 25708.34, 32199.659999999996, 44148.68, 25812.780000000002, 42060.75, 67118.27, 74814.27, 69855.85999999999, 57790.26, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 17194.0, 40678.0, 25555.0, 45759.0, 26675.0, 46492.0, 38423.0, 37071.0, 41583.0, 57235.0, 58919.0, 61105.0, 48897.0, 48225.0, 36891.0, 53389.0, 31759.0, 64588.0, 52799.0, 53219.0, 49689.0, 77521.0, 77850.0, 76340.0, 64193.0, 62146.0, 43659.0, 65715.0, 39290.0, 75826.0, 66462.0, 63904.0, 62940.0, 100127.0, 101441.0, 96967.0]",0.520884599,34.78
